,TrialType,IsCorrect,PsychometricId,NoiseChance
0,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
1,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
2,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
3,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
4,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
5,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
6,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
7,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
8,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
9,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
10,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
11,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
12,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
13,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
14,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
15,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
16,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
17,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
18,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
19,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
20,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
21,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
22,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
23,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
24,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
25,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
26,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
27,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
28,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
29,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
30,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
31,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
32,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
33,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
34,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
35,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
36,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
37,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
38,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
39,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
40,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
41,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
42,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
43,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
44,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
45,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
46,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
47,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
48,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
49,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
50,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
51,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
52,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
53,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
54,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
55,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
56,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
57,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
58,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
59,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
60,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
61,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
62,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
63,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
64,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
65,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
66,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
67,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
68,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
69,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
70,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
71,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
72,Psychometric,False,1667569989268750_0,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
73,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
74,Psychometric,False,1667569989268750_1,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
75,Psychometric,False,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.75'}"
76,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
77,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
78,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
79,Rand,False,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
80,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
81,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
82,Psychometric,False,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.45'}"
83,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
84,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
85,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
86,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
87,Psychometric,False,1667569989268750_0,"{'lowerLim': '0.35', 'upperLim': '0.55'}"
88,Psychometric,False,1667569989268750_1,"{'lowerLim': '0.35', 'upperLim': '0.75'}"
89,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
90,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
91,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
92,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
93,Psychometric,False,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.55'}"
94,Psychometric,False,1667565594544601_0,"{'lowerLim': '0.35', 'upperLim': '0.75'}"
95,Psychometric,False,1667569989268750_1,"{'lowerLim': '0.35', 'upperLim': '0.45'}"
96,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
97,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
98,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
99,Psychometric,True,1667569989268750_0,"{'lowerLim': '0.35', 'upperLim': '0.45'}"
100,Psychometric,True,1667565594544601_0,"{'lowerLim': '0.35', 'upperLim': '0.75'}"
101,Psychometric,False,1667569989268750_1,"{'lowerLim': '0.35', 'upperLim': '0.55'}"
102,Psychometric,False,1667569989268750_1,"{'lowerLim': '0.35', 'upperLim': '0.65'}"
103,Psychometric,True,1667569989268750_0,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
104,Psychometric,False,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
105,Psychometric,True,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.65'}"
106,Psychometric,False,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.75'}"
107,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
108,Psychometric,False,1667565594544601_0,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
109,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
110,Psychometric,False,1667565594544601_0,"{'lowerLim': '0.35', 'upperLim': '0.55'}"
111,Psychometric,True,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.45'}"
112,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
113,Psychometric,True,1667569989268750_0,"{'lowerLim': '0.35', 'upperLim': '0.45'}"
114,Psychometric,False,1667565594544601_0,"{'lowerLim': '0.35', 'upperLim': '0.65'}"
115,Psychometric,False,1667565594544601_0,"{'lowerLim': '0.35', 'upperLim': '0.65'}"
116,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
117,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
118,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
119,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
120,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
121,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
122,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
123,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
124,Psychometric,False,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.65'}"
125,Psychometric,False,1667565594544601_0,"{'lowerLim': '0.35', 'upperLim': '0.45'}"
126,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
127,Psychometric,False,1667569989268750_1,"{'lowerLim': '0.35', 'upperLim': '0.55'}"
128,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
129,Psychometric,True,1667569989268750_0,"{'lowerLim': '0.35', 'upperLim': '0.65'}"
130,Psychometric,True,1667565594544601_0,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
131,Psychometric,False,1667565594544601_1,"{'lowerLim': '0.35', 'upperLim': '0.55'}"
132,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
133,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
134,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
135,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
136,Rand,True,None,"{'lowerLim': '0.35', 'upperLim': '0.35'}"
